ID,Nome,Sobrenome,Endereço,Data de Cadastro,Data de Aniversário
62b9f343-8f5c-41fd-b149-3daf7fd7c21f,Jacqueline,Moran,"4376 Howard Ville Apt. 743, Lake Michelleborough, FM 39660",2024-03-05,1908-08-19
7d205c90-87ee-4d69-bf52-881ffa5db375,Lisa,Morales,"5270 Baldwin Village Apt. 341, North Kelseyfurt, ME 08963",2024-03-02,1997-01-28
b00704be-389f-462a-a48b-79150e5ff4c4,Margaret,Thomas,"270 Holt Squares Apt. 811, Sherimouth, NH 79505",2024-03-12,1978-05-26
6ec62b26-d689-43f9-89ae-f9b8053cb7e3,Michael,Cox,"6035 Kimberly Route, Lake Kaitlyn, TX 00960",2024-04-02,1999-08-27
28ce6c84-546a-4cb5-805e-d3faf390acc6,Johnathan,Cooper,"806 Fields Cove Apt. 019, Pearsonfurt, NH 23383",2024-03-26,1912-07-02
3c184b08-06aa-4174-a6a9-6044e6a3d83f,Katherine,Fowler,"0199 Thomas Way Suite 960, New Gerald, MI 70618",2024-01-07,1934-10-19
f1c0fead-4c7e-44ed-b97f-0f33d7bddac5,Nancy,Brown,"97299 Joseph Square, Elizabethshire, ME 97476",2024-02-27,1950-03-15
4e87ede4-cde3-49d7-93ec-fed0973cfe98,Danny,Bell,"433 Nicholas Crest, Lake Amy, MD 93600",2024-05-03,1923-10-17
a2995796-6200-450c-b077-1024fe70e0e0,Jessica,Landry,"PSC 4536, Box 5640, APO AA 47539",2024-01-17,1938-08-06
8218507f-0b8a-44ab-862e-28255ff229b8,Regina,Horne,"126 Ashley Way Suite 546, Cohenbury, OK 33853",2024-01-28,1961-08-31
